timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-01-31,47.4000,47.6000,45.6300,46.3100,18.4385,39167548,0.0000
2017-12-29,47.7800,48.8800,47.2000,47.6200,18.9601,37006722,0.2525
2017-11-30,46.7500,48.9400,46.2000,47.6800,18.7865,42012696,0.0000
2017-10-31,44.9000,47.8000,44.6000,46.7200,18.4083,34801694,0.0000
2017-09-29,45.0600,45.2900,43.3000,44.8800,17.6833,34283812,0.2462
2017-08-31,45.1200,46.1000,44.3800,45.2100,17.6167,33468756,0.0000
2017-07-31,44.5200,45.5400,44.1800,45.0300,17.5466,34797154,0.0000
2017-06-30,46.0600,46.0700,44.1000,44.7700,17.4453,58392092,0.2462
2017-05-31,45.3400,46.2900,44.6600,45.9400,17.7094,41433548,0.0000
2017-04-28,43.2200,45.5000,42.9300,45.4200,17.5089,33943262,0.0000
2017-03-31,43.4400,43.5500,42.2200,43.1700,16.6416,49420556,0.2400
2017-02-28,43.4200,44.4100,42.7800,43.2200,16.4756,45996794,0.0000
2017-01-31,42.6400,44.3950,42.6200,43.4400,16.5595,44286416,0.0000
2016-12-30,42.0700,43.1200,41.5200,42.7500,16.2964,47610452,0.2400
2016-11-30,43.4900,43.5600,40.9650,41.9600,15.8137,44976676,0.0000
2016-10-31,43.2900,43.6800,41.9550,43.4300,16.3677,34488450,0.0000
2016-09-30,43.0800,44.0500,41.5400,43.2900,16.3149,34899072,0.2300
2016-08-31,43.5000,44.3900,42.4600,43.0200,16.0429,30164388,0.0000
2016-07-29,41.7000,44.1500,41.7000,43.6900,16.2927,32457206,0.0000
2016-06-30,41.4200,42.0000,40.1000,41.6000,15.5133,46077776,0.2300
2016-05-31,40.0000,41.8000,39.3000,41.5700,15.3317,46061356,0.0000
2016-04-29,42.1600,42.3800,39.1100,39.7800,14.6715,55720342,0.0000
2016-03-31,39.3100,42.5900,38.8800,42.2800,15.5936,56315206,0.2200
2016-02-29,38.9000,40.5600,38.0800,39.4100,14.3758,67223144,0.0000
2016-01-29,37.9400,39.4400,35.5100,38.9700,14.2153,62956684,0.0000
2015-12-31,42.5500,42.8200,36.7400,38.2600,13.9563,80261978,0.2200
2015-11-30,43.7600,44.0100,40.0900,42.4400,15.3140,50145678,0.0000
2015-10-30,42.1800,44.5100,41.3100,43.6400,15.7470,51185566,0.0000
2015-09-30,42.4900,43.3900,41.0900,42.0500,15.1732,49205572,0.2100
2015-08-31,44.5600,45.1850,41.7100,43.0400,15.3770,43373520,0.0000
2015-07-31,43.0000,45.1000,42.9800,44.6500,15.9522,43156932,0.0000
2015-06-30,42.3800,43.2300,40.6400,43.0300,15.3734,57017976,0.2100
2015-05-29,41.7200,42.9700,40.6100,42.3400,14.9766,38799906,0.0000
2015-04-30,42.0100,43.7000,41.7000,41.7300,14.7609,39500910,0.0000
2015-03-31,44.2900,44.5300,41.2700,42.0700,14.8811,58151320,0.2000
2015-02-27,43.4800,45.1400,42.0100,44.4400,15.5747,38754980,0.0000
2015-01-30,41.6900,44.4900,41.0800,43.5900,15.2768,41486244,0.0000
2014-12-31,43.2900,43.9900,39.8300,41.8900,14.6810,74247350,0.2000
2014-11-28,40.3500,44.0700,40.1600,43.2800,15.0206,41115656,0.0000
2014-10-31,38.1300,40.9800,37.1300,40.3900,14.0177,39267596,0.0000
2014-09-30,39.6000,40.1900,38.1000,38.2400,13.2715,45397998,0.1900
2014-08-29,38.1400,39.8800,37.7700,39.6500,13.6299,31620654,0.0000
2014-07-31,40.0400,40.1600,37.1700,38.0600,13.0833,55462408,0.0000
2014-06-30,40.9700,42.4000,39.3600,39.7700,13.6711,43453276,0.1900
2014-05-30,38.5200,41.9200,38.5200,40.9500,13.9491,40378338,0.0000
2014-04-30,39.8800,39.9900,37.1500,38.6200,13.1554,40304556,0.0000
2014-03-31,38.8400,40.5300,38.1000,39.6300,13.4994,37359282,0.1800
2014-02-28,38.7500,39.5600,36.8300,39.2300,13.2397,47554396,0.0000
2014-01-31,36.4900,38.9600,36.0900,38.9300,13.1385,42622090,0.0000
2013-12-31,37.4500,37.6500,35.7100,36.5600,12.3386,38266672,0.1800
2013-11-29,36.4100,37.7900,35.9100,37.5600,12.5517,48450592,0.0000
2013-10-31,33.9900,37.0000,33.5700,36.4200,12.1707,48815252,0.0000
2013-09-30,35.0000,35.9000,32.6800,34.1400,11.4088,81511140,0.1700
2013-08-30,31.5700,33.4550,30.3800,32.3200,10.6934,78675174,0.0000
2013-07-31,31.0000,32.4450,30.6400,31.2100,10.3261,84061428,0.0000
2013-06-28,36.0100,36.4300,29.5200,30.7000,10.1574,123122670,0.1700
2013-05-31,36.3000,37.9400,35.7200,36.1100,11.8318,51879728,0.0000
2013-04-30,70.1500,71.2700,35.0000,36.2500,11.8777,50508842,0.0000
2013-03-28,70.2600,72.0100,68.2000,70.1600,11.4943,59450824,0.1600
2013-02-28,67.3600,71.1600,65.5000,70.8900,11.5098,63098844,0.0000
2013-01-31,65.0900,67.3900,64.0500,67.3900,10.9416,45168080,0.0000
2012-12-31,64.9100,65.9600,64.0500,65.1000,10.5698,41472092,0.1600
2012-11-30,64.7600,65.7900,62.3000,64.8400,10.4237,143634224,0.0000
2012-10-31,61.8200,65.0000,61.1400,64.8400,10.4237,73715564,0.0000
2012-09-28,62.3000,63.4300,60.2500,62.0100,9.9688,80588568,0.1525
2012-08-31,62.9600,65.3900,61.9000,62.0700,9.8822,69910860,0.0000
2012-07-31,61.2600,63.7200,60.6100,62.6200,9.9698,36764124,0.0000
2012-06-29,59.9500,61.2400,58.3600,61.1400,9.7341,92537928,0.1525
2012-05-31,59.0500,60.7000,57.6500,60.1200,9.4751,60389524,0.0000
2012-04-30,58.1900,59.6400,57.1100,59.3100,9.3475,58968900,0.0000
2012-03-30,57.4100,59.9800,56.4100,57.8800,9.1221,155848672,0.1450
2012-02-29,56.5200,57.8700,55.1900,57.5800,8.9830,138847644,0.0000
2012-01-31,57.6400,57.9000,55.6100,56.5200,8.8177,48207532,0.0000
2011-12-30,55.2500,57.7400,54.6700,57.6400,8.9924,70114780,0.1450
2011-11-30,52.6700,55.4500,52.6000,55.2500,8.5291,38041048,0.0000
2011-10-31,51.0500,55.6600,50.0000,53.6300,8.2790,50696548,0.0000
2011-09-30,53.8500,54.3500,50.1700,51.3500,7.9271,57404828,0.1375
2011-08-31,52.4900,54.0000,49.4700,53.9800,8.2474,58933504,0.0000
2011-07-29,52.8900,55.0400,51.0500,52.5900,8.0350,39363132,0.0000
2011-06-30,53.4000,53.5900,51.1400,53.1000,8.1130,52640840,0.1375
2011-05-31,49.4600,53.5500,49.3500,53.0300,8.0176,42084136,0.0000
2011-04-29,49.5000,50.2900,48.0800,49.8600,7.5384,35417452,0.0000
2011-03-31,48.0000,49.9400,46.1700,49.5700,7.4945,57353976,0.1313
2011-02-28,49.6500,49.9800,47.1000,48.1500,7.2003,43371112,0.0000
2011-01-31,45.8500,49.7800,44.9800,49.6500,7.4247,37873796,0.0000
2010-12-31,46.7400,48.0000,45.4800,45.4800,6.8011,53691000,0.1313
2010-11-30,45.0700,47.5400,44.0500,46.6000,6.8910,55030520,0.0000
2010-10-29,45.5600,47.4600,44.6700,45.2000,6.6839,60290956,0.0000
2010-09-30,43.9500,46.1900,42.6100,45.7200,6.7608,76280852,0.1250
2010-08-31,40.7300,44.8000,40.6200,44.0000,6.4338,56811332,0.0000
2010-07-30,40.1600,42.5200,39.9900,40.6800,5.9483,51595404,0.0000
2010-06-30,38.9000,41.3100,37.7500,40.1700,5.8738,79964516,0.1250
2010-05-31,37.9000,40.4600,36.9300,39.1100,5.6461,72668808,0.0000
2010-04-30,37.9800,39.1000,36.8000,37.5800,5.4252,57855712,0.0000
2010-03-31,34.6600,38.0900,32.5300,37.8000,5.4570,87577676,0.1187
2010-02-26,33.0800,34.7200,32.0300,34.5300,4.9204,48250132,0.0000
2010-01-29,34.1700,34.5600,32.6600,33.1300,4.7209,47931776,0.0000
2009-12-31,34.2300,35.5000,31.5600,34.1100,4.8605,79713484,0.1187
2009-11-30,33.5200,34.9900,32.7800,34.2000,4.8080,53818008,0.0000
2009-10-30,34.5800,34.5900,32.4100,33.9900,4.7785,49971240,0.0000
2009-09-30,34.0000,36.0500,32.2900,34.5400,4.8558,59579288,0.1187
